cate,CHAPTER,value,CONTENT
AIB CABINELECTRONICS,23,4,Communications 通讯
AIB CABINELECTRONICS,25,13,Equipment / Furnishings 设备/装饰
AIB CABINELECTRONICS,26,1,Fire Protection 防火
AIB CABINELECTRONICS,44,20,Cabin Systems 客舱系统
AIB CABINELECTRONICS,46,2,Information Systems 信息系统
AIRBUS AVIONICS,22,1,Auto Flight 自动飞行
AIRBUS AVIONICS,24,2,Electrical Power 电源
AIRBUS AVIONICS,27,4,Flight Controls 飞行控制
AIRBUS AVIONICS,31,1,Indicating/Recording Systems 指示/记录系统
AIRBUS AVIONICS,46,3,Information Systems 信息系统
AIRBUS AVIONICS,53,1,Fuselage 机身
BAERO,21,1,Air Conditioning 空调
BAERO,25,61,Equipment / Furnishings 设备/装饰
BAERO,33,1,Lights 灯光
BAERO,35,65,Oxygen 氧气
BAERO,44,2,Cabin Systems 客舱系统
DIEHL,25,735,Equipment / Furnishings 设备/装饰
DIEHL,27,5,Flight Controls 飞行控制
DIEHL,30,13,Ice & Rain Protection 防冰和排雨
DIEHL,32,3,Landing Gear 起落架
DIEHL,33,12,Lights 灯光
DIEHL,38,27,Water/Waste 水/污水
DIEHL,44,12,Cabin Systems 客舱系统
DIEHL,49,1,Airborne Auxiliary Power 机载辅助动力
DIEHL,52,11,Doors 舱门
EATON,25,1,Equipment / Furnishings 设备/装饰
ESW,31,1,Indicating/Recording Systems 指示/记录系统
FACC,25,70,Equipment / Furnishings 设备/装饰
HONEYWELL,21,83,Air Conditioning 空调
HONEYWELL,22,1,Auto Flight 自动飞行
HONEYWELL,25,1,Equipment / Furnishings 设备/装饰
HONEYWELL,28,1,Fuel 燃油
HONEYWELL,30,5,Ice & Rain Protection 防冰和排雨
HONEYWELL,34,6,Navigation 导航
HONEYWELL,36,11,Pneumatic 气源
HONEYWELL,49,32,Airborne Auxiliary Power 机载辅助动力
L3COM,23,4,Communications 通讯
L3COM,31,3,Indicating/Recording Systems 指示/记录系统
LIEBHERR,27,67,Flight Controls 飞行控制
LIEBHERR,32,57,Landing Gear 起落架
MEGGITT,25,2,Equipment / Furnishings 设备/装饰
MEGGITT,26,18,Fire Protection 防火
MOOG,27,64,Flight Controls 飞行控制
PARKER,28,75,Fuel 燃油
PARKER,29,43,Hydraulic Power 液压源
PARKER,32,2,Landing Gear 起落架
PARKER,38,1,Water/Waste 水/污水
