country,food_category,consumption,co2_emmission,lat,lng
Argentina,Pork,10.51,37.2,-38.416097,-63.616672
Argentina,Poultry,38.66,41.53,-38.416097,-63.616672
Argentina,Beef,55.48,1712,-38.416097,-63.616672
Argentina,Lamb & Goat,1.56,54.63,-38.416097,-63.616672
Argentina,Fish,4.36,6.96,-38.416097,-63.616672
Argentina,Eggs,11.39,10.46,-38.416097,-63.616672
Argentina,Milk - inc. cheese,195.08,277.87,-38.416097,-63.616672
Argentina,Wheat and Wheat Products,103.11,s,-38.416097,-63.616672
Argentina,Rice,8.77,11.22,-38.416097,-63.616672
Argentina,Soybeans,0,0,-38.416097,-63.616672
Argentina,Nuts inc. Peanut Butter,0.49,0.87,-38.416097,-63.616672
Australia,Pork,24.14,85.44,-25.274398,133.775136
Australia,Poultry,46.12,49.54,-25.274398,133.775136
Australia,Beef,33.86,1044.85,-25.274398,133.775136
Australia,Lamb & Goat,9.87,345.65,-25.274398,133.775136
Australia,Fish,17.69,28.25,-25.274398,133.775136
Australia,Eggs,8.51,7.82,-25.274398,133.775136
Australia,Milk - inc. cheese,234.49,334.01,-25.274398,133.775136
Australia,Wheat and Wheat Products,70.46,13.44,-25.274398,133.775136
Australia,Rice,11.03,14.12,-25.274398,133.775136
Australia,Soybeans,0.19,0.09,-25.274398,133.775136
Australia,Nuts inc. Peanut Butter,8.73,15.45,-25.274398,133.775136
Albania,Pork,10.88,38.51,41.153332,20.168331
Albania,Poultry,13.23,14.21,41.153332,20.168331
Albania,Beef,22.5,694.3,41.153332,20.168331
Albania,Lamb & Goat,15.32,536.5,41.153332,20.168331
Albania,Fish,3.85,6.15,41.153332,20.168331
Albania,Eggs,12.45,11.44,41.153332,20.168331
Albania,Milk - inc. cheese,303.72,432.62,41.153332,20.168331
Albania,Wheat and Wheat Products,138.64,26.44,41.153332,20.168331
Albania,Rice,7.78,9.96,41.153332,20.168331
Albania,Soybeans,0,0,41.153332,20.168331
Albania,Nuts inc. Peanut Butter,4.36,7.72,41.153332,20.168331
Iceland,Pork,21.69,76.77,64.963051,-19.020835
Iceland,Poultry,26.87,28.86,64.963051,-19.020835
Iceland,Beef,13.36,412.26,64.963051,-19.020835
Iceland,Lamb & Goat,21.12,739.62,64.963051,-19.020835
Iceland,Fish,74.41,118.81,64.963051,-19.020835
Iceland,Eggs,8.24,7.57,64.963051,-19.020835
Iceland,Milk - inc. cheese,225.82,321.66,64.963051,-19.020835
Iceland,Wheat and Wheat Products,72.92,13.91,64.963051,-19.020835
Iceland,Rice,3.89,4.98,64.963051,-19.020835
Iceland,Soybeans,0.11,0.05,64.963051,-19.020835
Iceland,Nuts inc. Peanut Butter,3.88,6.87,64.963051,-19.020835
New Zealand,Pork,22.29,78.9,-40.900557,174.885971
New Zealand,Poultry,34.98,37.58,-40.900557,174.885971
New Zealand,Beef,22.49,693.99,-40.900557,174.885971
New Zealand,Lamb & Goat,18.91,662.23,-40.900557,174.885971
New Zealand,Fish,20.36,32.51,-40.900557,174.885971
New Zealand,Eggs,9.91,9.1,-40.900557,174.885971
New Zealand,Milk - inc. cheese,137.25,195.5,-40.900557,174.885971
New Zealand,Wheat and Wheat Products,76.91,14.67,-40.900557,174.885971
New Zealand,Rice,9.16,11.72,-40.900557,174.885971
New Zealand,Soybeans,0.44,0.2,-40.900557,174.885971
New Zealand,Nuts inc. Peanut Butter,8.22,14.55,-40.900557,174.885971
USA,Pork,27.64,97.83,37.09024,-95.712891
USA,Poultry,50.01,53.72,37.09024,-95.712891
USA,Beef,36.24,1118.29,37.09024,-95.712891
USA,Lamb & Goat,0.43,15.06,37.09024,-95.712891
USA,Fish,12.35,19.72,37.09024,-95.712891
USA,Eggs,14.58,13.39,37.09024,-95.712891
USA,Milk - inc. cheese,254.69,362.78,37.09024,-95.712891
USA,Wheat and Wheat Products,80.43,15.34,37.09024,-95.712891
USA,Rice,6.88,8.8,37.09024,-95.712891
USA,Soybeans,0.04,0.02,37.09024,-95.712891
USA,Nuts inc. Peanut Butter,7.86,13.91,37.09024,-95.712891
Uruguay,Pork,16.84,59.61,-32.522779,-55.765835
Uruguay,Poultry,27.45,29.49,-32.522779,-55.765835
Uruguay,Beef,29.1,897.96,-32.522779,-55.765835
Uruguay,Lamb & Goat,8.23,288.21,-32.522779,-55.765835
Uruguay,Fish,6.53,10.43,-32.522779,-55.765835
Uruguay,Eggs,13.14,12.07,-32.522779,-55.765835
Uruguay,Milk - inc. cheese,210.54,299.89,-32.522779,-55.765835
Uruguay,Wheat and Wheat Products,109.31,20.85,-32.522779,-55.765835
Uruguay,Rice,11.5,14.72,-32.522779,-55.765835
Uruguay,Soybeans,0.01,0,-32.522779,-55.765835
Uruguay,Nuts inc. Peanut Butter,0.95,1.68,-32.522779,-55.765835
Luxembourg,Pork,43.58,154.25,49.815273,6.129583
Luxembourg,Poultry,21.37,22.96,49.815273,6.129583
Luxembourg,Beef,29.88,922.03,49.815273,6.129583
Luxembourg,Lamb & Goat,1.67,58.48,49.815273,6.129583
Luxembourg,Fish,23.09,36.87,49.815273,6.129583
Luxembourg,Eggs,14.64,13.45,49.815273,6.129583
Luxembourg,Milk - inc. cheese,255.3,363.65,49.815273,6.129583
Luxembourg,Wheat and Wheat Products,103.2,19.68,49.815273,6.129583
Luxembourg,Rice,4.2,5.37,49.815273,6.129583
Luxembourg,Soybeans,0.04,0.02,49.815273,6.129583
Luxembourg,Nuts inc. Peanut Butter,0.93,1.65,49.815273,6.129583
Brazil,Pork,12.6,44.6,-14.235004,-51.92528
Brazil,Poultry,45,48.34,-14.235004,-51.92528
Brazil,Beef,39.25,1211.17,-14.235004,-51.92528
Brazil,Lamb & Goat,0.62,21.71,-14.235004,-51.92528
Brazil,Fish,10.01,15.98,-14.235004,-51.92528
Brazil,Eggs,8.98,8.25,-14.235004,-51.92528
Brazil,Milk - inc. cheese,149.28,212.63,-14.235004,-51.92528
Brazil,Wheat and Wheat Products,53,10.11,-14.235004,-51.92528
Brazil,Rice,32.13,41.12,-14.235004,-51.92528
Brazil,Soybeans,3.62,1.63,-14.235004,-51.92528
Brazil,Nuts inc. Peanut Butter,0.67,1.19,-14.235004,-51.92528
Kazakhstan,Pork,10.36,36.67,48.019573,66.923684
Kazakhstan,Poultry,18.38,19.74,48.019573,66.923684
Kazakhstan,Beef,23.38,721.46,48.019573,66.923684
Kazakhstan,Lamb & Goat,9.56,334.79,48.019573,66.923684
Kazakhstan,Fish,5.21,8.32,48.019573,66.923684
Kazakhstan,Eggs,8.29,7.62,48.019573,66.923684
Kazakhstan,Milk - inc. cheese,288.12,410.4,48.019573,66.923684
Kazakhstan,Wheat and Wheat Products,92.31,17.6,48.019573,66.923684
Kazakhstan,Rice,7.32,9.37,48.019573,66.923684
Kazakhstan,Soybeans,0.03,0.01,48.019573,66.923684
Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1,48.019573,66.923684
Sweden,Pork,37,130.96,60.128161,18.643501
Sweden,Poultry,16.64,17.87,60.128161,18.643501
Sweden,Beef,24.58,758.49,60.128161,18.643501
Sweden,Lamb & Goat,1.41,49.38,60.128161,18.643501
Sweden,Fish,23.86,38.1,60.128161,18.643501
Sweden,Eggs,13.37,12.28,60.128161,18.643501
Sweden,Milk - inc. cheese,341.23,486.05,60.128161,18.643501
Sweden,Wheat and Wheat Products,79.59,15.18,60.128161,18.643501
Sweden,Rice,5.96,7.63,60.128161,18.643501
Sweden,Soybeans,0.13,0.06,60.128161,18.643501
Sweden,Nuts inc. Peanut Butter,6.23,11.03,60.128161,18.643501
Bermuda,Pork,28.24,99.96,32.321384,-64.75737
Bermuda,Poultry,32.62,35.04,32.321384,-64.75737
Bermuda,Beef,33.15,1022.94,32.321384,-64.75737
Bermuda,Lamb & Goat,2.71,94.9,32.321384,-64.75737
Bermuda,Fish,33.22,53.04,32.321384,-64.75737
Bermuda,Eggs,14.92,13.71,32.321384,-64.75737
Bermuda,Milk - inc. cheese,95.56,136.12,32.321384,-64.75737
Bermuda,Wheat and Wheat Products,54.88,10.47,32.321384,-64.75737
Bermuda,Rice,5.38,6.88,32.321384,-64.75737
Bermuda,Soybeans,0.22,0.1,32.321384,-64.75737
Bermuda,Nuts inc. Peanut Butter,5.72,10.12,32.321384,-64.75737
Denmark,Pork,24.87,88.03,56.26392,9.501785
Denmark,Poultry,26.75,28.73,56.26392,9.501785
Denmark,Beef,28.46,878.22,56.26392,9.501785
Denmark,Lamb & Goat,0.92,32.22,56.26392,9.501785
Denmark,Fish,16.49,26.33,56.26392,9.501785
Denmark,Eggs,15.35,14.1,56.26392,9.501785
