id,Mechanisms,Patterns,Defintion,Features,Definition of Feature
1,1PressuringUsers,1A)ArtificialSocialObligations,"Platforms create social pressures that push users to interact more, presenting these interactions as social obligations.",Gifting Options,"Design features that provide users with the ability to send virtual or physical gifts to other users, creating a sense of social obligation and encouraging continued interaction through gifting."
2,1PressuringUsers,1A)ArtificialSocialObligations,"Platforms create social pressures that push users to interact more, presenting these interactions as social obligations.",Content Sharing Prompts,"Design features that use notifications or suggestions to encourage users to share content with their friends, fostering social interaction and engagement."
3,1PressuringUsers,1A)ArtificialSocialObligations,"Platforms create social pressures that push users to interact more, presenting these interactions as social obligations.",Congratulatory Prompts,"Design features that encourage users to send congratulations to their connections for achievements or milestones, creating a sense of social obligation and maintaining engagement."
4,1PressuringUsers,1A)ArtificialSocialObligations,"Platforms create social pressures that push users to interact more, presenting these interactions as social obligations.",Anthropomorphic Language for Social Pressure,Design features that use human-like language or characteristics attributed to the platform or digital elements to evoke social pressure. These features target the user's empathy or sense of personal obligation by creating an artificial sense of personal interaction or social relationship with the platform.
5,1PressuringUsers,1A)ArtificialSocialObligations,"Platforms create social pressures that push users to interact more, presenting these interactions as social obligations.",Social Reminders,Design features that encourage users to connect or re-connect with other users.
6,1PressuringUsers,1A)ArtificialSocialObligations,"Platforms create social pressures that push users to interact more, presenting these interactions as social obligations.",Contact Sync Prompts,"Design features that encourage users to sync their phone or other app contacts with the platform to find more friends or connections, promoting expanded social networks and increased engagement."
7,1PressuringUsers,1B)Platform-ManufacturedTasks,Platforms pressure users into extending their engagement by creating tasks and to-do items for them to attend to. These can be explicit requests or implicit cues through interface design.,Rating Requests,"Design features that ask users to rate or review a product or service they have used, encouraging ongoing engagement with the platform."
8,1PressuringUsers,1B)Platform-ManufacturedTasks,Platforms pressure users into extending their engagement by creating tasks and to-do items for them to attend to. These can be explicit requests or implicit cues through interface design.,In-app Incomplete/Unread Badge,"Design features such as badges displayed within the app to indicate incomplete tasks or unread notifications, prompting users to engage with the platform to clear them."
9,1PressuringUsers,1B)Platform-ManufacturedTasks,Platforms pressure users into extending their engagement by creating tasks and to-do items for them to attend to. These can be explicit requests or implicit cues through interface design.,New Feature Prompts,"Design features that encourages users to explore and use new features within the app, or to create new posts or repost existing content."
10,1PressuringUsers,1B)Platform-ManufacturedTasks,Platforms pressure users into extending their engagement by creating tasks and to-do items for them to attend to. These can be explicit requests or implicit cues through interface design.,Personal Data Solicitation,"Design features that encourage or request users to provide personal information, such as their name, email address, phone number, location, or preferences, to enhance user engagement or personalize their experience on the platform."
11,1PressuringUsers,1B)Platform-ManufacturedTasks,Platforms pressure users into extending their engagement by creating tasks and to-do items for them to attend to. These can be explicit requests or implicit cues through interface design.,Advanced Personalization Setting,"Design features that prompt users to personalize their experience by setting up an avatar, adjusting privacy settings, or customizing other personal preferences, encouraging deeper engagement with the platform."
12,1PressuringUsers,1B)Platform-ManufacturedTasks,Platforms pressure users into extending their engagement by creating tasks and to-do items for them to attend to. These can be explicit requests or implicit cues through interface design.,Task Chunking,"Design features that break down tasks into manageable steps or label them by difficulty level, setting targets or goals for users to reach. This approach breaks task into easy peieces to engage quick start and fosters a sense of commitment to achieving significant milestones or completing specific activities, encouraging sustained engagement with the platform."
13,1PressuringUsers,1C)FabricatedTimePressure,"Platforms add urgency to users’ actions, encouraging immediate engagement through a false sense of scarcity or urgency.",Scarcity-Based Urgency,"Design features that notify users about limited-time discounts, special deals, or fleeting job opportunities, creating a sense of urgency due to perceived scarity. eg. ""Only 2 seats left at this price!"""
14,1PressuringUsers,1C)FabricatedTimePressure,"Platforms add urgency to users’ actions, encouraging immediate engagement through a false sense of scarcity or urgency.",Vague Urgency Cues,"Design elements using language or visual cues that create a general sense of urgency or time sensitivity, without specifying concrete deadlines. These prompts aim to motivate immediate action by emphasizing the passage of time or the fleeting nature of opportunities."
15,1PressuringUsers,1C)FabricatedTimePressure,"Platforms add urgency to users’ actions, encouraging immediate engagement through a false sense of scarcity or urgency.",Deadline-driven Prompt,"Design features that present tasks or challenges that must be completed within a specific time frame, creating a sense of urgency to encourage quick engagement and participation."
16,1PressuringUsers,1C)FabricatedTimePressure,"Platforms add urgency to users’ actions, encouraging immediate engagement through a false sense of scarcity or urgency.",Ephemeral Content,"Design features such as stories or posts, that disappear after a set period, encouraging users to engage quickly before the content is no longer available."
17,1PressuringUsers,1C)FabricatedTimePressure,"Platforms add urgency to users’ actions, encouraging immediate engagement through a false sense of scarcity or urgency.",Autoplay Countdown Timer,"Design features that use a countdown timer to prompt users to take action to stop the autoplay of the next video, creating a sense of urgency to interact with the platform."
18,1PressuringUsers,1C)FabricatedTimePressure,"Platforms add urgency to users’ actions, encouraging immediate engagement through a false sense of scarcity or urgency.",FOMO Notification Prompts,"Design features that encourage users to turn on notifications to stay updated on the latest content or messages, prompting continuous engagement with the platform."
19,2EnticingUsers,2A)ReinforcementSchedules,Platforms use interface elements that reinforce desired patterns of engagement through intermittent rewards or explicit acknowledgments of prolonged engagement.,Random/Surpise Reward,"Design features that randomly award tokens or items to users as rewards for their activity or engagement, reinforcing continued participation on the platform through unexpected incentives."
20,2EnticingUsers,2A)ReinforcementSchedules,Platforms use interface elements that reinforce desired patterns of engagement through intermittent rewards or explicit acknowledgments of prolonged engagement.,Streak Rewards and Daily Challenges,Design features that provide congratulatory notifications or awards for maintaining usage streaks or daily active engagement. These may include daily quizzes or challenges to encourage users to return and interact with the platform consistently.
21,2EnticingUsers,2B)CuriosityTeasers,"Platforms use gamification and suspense to increase user engagement by building anticipation and curiosity. This involves hinting at mystery content, displaying partially hidden items, and using enticing prompts to keep users engaged.",Promised Mystery Prizes,"Design features that offer users the chance to gain unspecified or mystery prizes, creating anticipation and curiosity to increase engagement."
